,0,1
0,"Ahead of Punjab Assembly election results, leaders make a beeline for astrologersTribune India",https://www.tribuneindia.com/news/punjab/ahead-of-results-leaders-make-a-beeline-for-astrologers-374247
1,Punjab Assembly Elections: Shahkot Assembly Constituency Result 2022Deccan Herald,https://www.news18.com/news/politics/punjab-elections-2022-congresss-internal-assessment-hints-at-poor-outcome-4809557.html
2,"Punjab election 2022: Polling ends in border state, voter turnout at 70.2%Hindustan Times",https://www.deccanherald.com/election/punjab/punjab-assembly-election-2022-result-constituency-wise/shahkot-constituency-election-result/acno32.html
3,Punjab Elections 2022: Congress's Internal Assessment Hints at Poor OutcomeNews18,https://www.indiatoday.in/elections/punjab-assembly-polls-2022/story/psephologists-punjab-polls-fractured-mandate-decline-in-voter-turnout-1917037-2022-02-24
4,"Punjab elections: ‘People disappointed in Sidhu, his language,’ says Congress MPHindustan Times",https://www.hindustantimes.com/elections/punjab-assembly-election/punjab-elections-people-disappointed-in-sidhu-his-language-says-congress-mp-101645406433600.html
5,Punjab polls: Psephologists predict fractured mandate amid decline in voter turnoutIndia Today,https://www.deccanherald.com/election/punjab/punjab-assembly-election-2022-result-constituency-wise/gurdaspur%2520-constituency-election-result/acno4.html
6,Punjab assembly elections: What did the youth vote forHindustan Times,https://www.hindustantimes.com/elections/punjab-assembly-election/punjab-assembly-election-2022-live-voting-updates-third-phase-february-20-latest-news-101645315780036.html
7,"Punjab Elections 2022: Swing seats, strongholds, and beginner’s luckIndia Today",https://www.indiatoday.in/elections/punjab-assembly-polls-2022/story/punjab-elections-2022-analysis-swing-seats-strongholds-beginner-luck-1913819-2022-02-16
8,Punjab Assembly Elections: Gurdaspur Assembly Constituency ...Deccan Herald,https://www.hindustantimes.com/elections/punjab-assembly-election/punjab-elections-stiff-triangular-contest-on-50-seats-in-majha-belt-101645285010355.html
9,Punjab elections: Stiff triangular contest on 50% seats in Majha beltHindustan Times,https://www.hindustantimes.com/elections/punjab-assembly-election/punjab-assembly-elections-what-did-the-youth-vote-for-101645389424049.html
